salary, info
NoPay,Business Economics Undergraduate 2011 Bachelor 3.47 internal A3 
NoPay,Business Business Undergraduate 2011 Bachelor 2.87 internal B2 
NoPay,InformationSystem M.S.inInformationSystemManagement Postgraduate 2011 High-school 3.26 internal A3 
NoPay,Science M.S.inBiologicalSciences Postgraduate 2011 High-school 3.12 internal B2 
NoPay,Science B.A.inBiologicalSciences Undergraduate 2011 High-school 3.18 internal A3 
NoPay,Science M.S.inBiologicalSciences Postgraduate 2011 High-school 3.69 internal A1 
NoPay,ComputerScience B.S.inComputerScience Postgraduate 2011 Bachelor 3.05 internal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2011 Bachelor 3.85 internal A2 
Low,Business MBA Postgraduate 2011 Bachelor 3.16 internal A1 
Low,ComputerScience M.S.inComputerScience Postgraduate 2011 Bachelor 2.98 external B2 
Low,ComputerScience M.S.inComputerScience Postgraduate 2011 High-school 3.15 external A3 
Low,Science B.S.inMathematicalSciences Undergraduate 2011 High-school 3.43 multi-modal C 
Medium,Science B.A.inBiologicalSciences Undergraduate 2011 Bachelor 2.98 internal A2 
Low,Science M.S.inBiologicalSciences Postgraduate 2011 High-school 3.6 multi-modal B2 
Low,Business Business Undergraduate 2011 Bachelor 3.6 internal B1 
Low,Business MBA Postgraduate 2011 Bachelor 3.02 internal A3 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2011 Bachelor 3.07 external A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2011 Bachelor 3.11 internal B1 
Low,Science M.S.inBiologicalSciences Postgraduate 2011 High-school 3.91 internal A3 
Low,Science B.S.inMathematicalSciences Undergraduate 2011 Bachelor 3.2 internal A3 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2011 High-school 2.97 multi-modal A3 
Low,Business MSCF Postgraduate 2011 Bachelor 2.85 multi-modal A3 
Low,ComputerScience M.S.inComputerScience Postgraduate 2011 Bachelor 3.67 internal A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2011 High-school 3.37 internal B2 
Low,Business Economics Undergraduate 2011 Bachelor 3.13 internal A3 
Low,Business MSCF Postgraduate 2011 High-school 3.14 external A3 
Low,ComputerScience M.S.inComputerScience Postgraduate 2011 Bachelor 3.71 internal F 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2011 Bachelor 3.15 external A1 
Low,Business Economics Undergraduate 2011 High-school 2.91 internal A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2011 Bachelor 3.68 multi-modal B1 
Low,Business Business Undergraduate 2011 Bachelor 3.86 internal A3 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2011 High-school 3.06 internal B2 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2011 Bachelor 4 internal C 
Low,Business MSCF Postgraduate 2011 Bachelor 3.4 multi-modal B1 
Low,ComputerScience M.S.inComputerScience Postgraduate 2011 Bachelor 3.88 external F 
Low,Science M.S.inChemistry Postgraduate 2011 High-school 3.12 internal A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2011 Bachelor 3.51 multi-modal A3 
Low,Science B.A.inBiologicalSciences Undergraduate 2011 Bachelor 3.76 internal B1 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2011 High-school 4 internal F 
Low,Science M.S.inChemistry Postgraduate 2011 High-school 3.86 internal B1 
Low,ComputerScience M.S.inComputerScience Postgraduate 2011 Bachelor 3.55 internal A3 
Low,Business Business Undergraduate 2011 High-school 3.11 multi-modal B2 
Low,Business MSCF Postgraduate 2011 Bachelor 2.9 internal B2 
Low,Science M.S.inChemistry Postgraduate 2011 High-school 3.47 internal B1 
Medium,Business MBA Postgraduate 2011 High-school 3.77 multi-modal A2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2011 High-school 3.58 external A2 
Medium,Business MSCF Postgraduate 2011 High-school 3.01 internal B2 
Low,Business Business Undergraduate 2011 High-school 3.42 multi-modal B3 
Medium,Science B.A.inChemistry Undergraduate 2011 Bachelor 2.98 internal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2011 High-school 3.88 internal B1 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2011 High-school 3.52 internal B1 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2011 High-school 3.87 multi-modal B1 
Medium,Business MBA Postgraduate 2011 Bachelor 3.45 internal A3 
Medium,Business MBA Postgraduate 2011 High-school 2.9 external B2 
High,Science M.S.inChemistry Postgraduate 2011 Bachelor 3.86 internal A3 
Medium,Business MBA Postgraduate 2011 Bachelor 3.75 internal A2 
High,InformationSystem M.S.inInformationTechnology Postgraduate 2011 Bachelor 3.64 internal B2 
High,ComputerScience B.S.inComputerScience Postgraduate 2011 High-school 2.99 internal A3 
High,Science B.A.inBiologicalSciences Undergraduate 2011 Bachelor 3.67 internal A3 
High,Business MSCF Postgraduate 2011 High-school 2.89 external B1 
High,Science B.A.inChemistry Undergraduate 2011 Bachelor 3.94 internal B2 
High,Science M.S.inBiologicalSciences Postgraduate 2011 High-school 3.86 internal B1 
High,Science B.A.inBiologicalSciences Undergraduate 2011 High-school 3.41 internal B2 
High,InformationSystem M.S.inInformationTechnology Postgraduate 2011 High-school 3.95 external B1 
High,ComputerScience B.S.inComputerScience Postgraduate 2011 High-school 3.16 external B2 
High,Business MBA Postgraduate 2011 High-school 3.45 multi-modal B1 
High,Business Economics Undergraduate 2011 High-school 3.74 internal A3 
High,ComputerScience B.S.inComputerScience Postgraduate 2011 Bachelor 3.33 multi-modal A3 
High,Business MBA Postgraduate 2011 Bachelor 3.24 internal B1 
High,Business MSCF Postgraduate 2011 Bachelor 3.3 internal B1 
High,Science B.A.inChemistry Undergraduate 2011 Bachelor 3.02 multi-modal F 
High,ComputerScience B.S.inComputerScience Postgraduate 2011 High-school 3.42 internal A1 
High,Science B.A.inChemistry Undergraduate 2011 High-school 3.26 external B2 
High,Business Business Undergraduate 2011 High-school 3.95 internal A3 
High,Science M.S.inChemistry Postgraduate 2011 High-school 3.02 internal B1 
High,Business Business Undergraduate 2011 High-school 3.84 internal B2 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 3.02 internal A2 
High,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 3.23 internal B2 
Medium,Business MSCF Postgraduate 2009 Bachelor 2.88 multi-modal A2 
High,Science M.S.inChemistry Postgraduate 2009 High-school 3.49 internal A3 
High,Business Business Undergraduate 2009 High-school 2.85 external A3 
High,Science M.S.inChemistry Postgraduate 2009 High-school 3.23 internal B2 
Excellent,Business Business Undergraduate 2009 High-school 3.43 internal F 
Excellent,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 2.82 internal B2 
Excellent,Business Business Undergraduate 2009 Bachelor 2.82 internal B2 
Excellent,Business Business Undergraduate 2009 High-school 3.94 external C 
Excellent,Business MSCF Postgraduate 2009 Bachelor 3.06 multi-modal B2 
Excellent,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.42 multi-modal B1 
Excellent,Business MBA Postgraduate 2009 High-school 2.84 internal B1 
Excellent,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 3.3 internal C 
Excellent,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 3.88 internal B2 
Excellent,Science M.S.inChemistry Postgraduate 2009 High-school 3.33 internal A3 
Excellent,Science B.A.inBiologicalSciences Undergraduate 2009 Bachelor 2.95 internal A3 
Excellent,Business MBA Postgraduate 2009 Bachelor 2.99 multi-modal A3 
Excellent,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 3.64 internal B1 
Medium,Business Economics Undergraduate 2009 Bachelor 3.05 multi-modal A2 
Excellent,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.96 internal A3 
Excellent,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.59 internal F 
Excellent,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.3 multi-modal A3 
Excellent,Science M.S.inBiologicalSciences Postgraduate 2009 High-school 3.18 internal B1 
Excellent,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.55 external B2 
Low,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.43 internal C 
NoPay,Business Business Undergraduate 2009 High-school 2.86 multi-modal B1 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.19 internal B1 
NoPay,Business Economics Undergraduate 2009 Bachelor 3.36 internal C 
Medium,Business Economics Undergraduate 2009 High-school 3.74 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 3.66 multi-modal A2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 2.9 multi-modal B1 
Medium,Business Business Undergraduate 2009 Bachelor 3.73 internal B1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.36 internal B2 
Low,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 3.75 multi-modal C 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.72 multi-modal B2 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.87 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.24 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.83 external B1 
Medium,Business MSCF Postgraduate 2009 High-school 3.54 multi-modal B2 
Medium,Business Business Undergraduate 2009 High-school 2.89 internal B1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 3.92 internal B1 
Medium,Science M.S.inBiologicalSciences Postgraduate 2009 High-school 3.26 internal B1 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.72 internal B2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 2.86 internal B1 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.65 multi-modal B1 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 3.45 internal B1 
Low,Science M.S.inChemistry Postgraduate 2009 Bachelor 2.99 internal B1 
Low,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 3.37 multi-modal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.4 internal B1 
Low,Business MSCF Postgraduate 2009 High-school 3.92 multi-modal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 2.93 external A2 
Low,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 3.92 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 2.99 internal B2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 3.06 internal B1 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.24 multi-modal A3 
Medium,Business Business Undergraduate 2009 Bachelor 3.36 internal B2 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 3.05 multi-modal B1 
Low,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 3.41 internal F 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.12 internal A3 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 3.48 internal A3 
Medium,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.94 external B2 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.52 internal B2 
Medium,Business Business Undergraduate 2009 High-school 2.84 external B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.89 multi-modal B2 
Low,ComputerScience B.S.inComputerScience Postgraduate 2009 Bachelor 3.69 internal B2 
Medium,Business MSCF Postgraduate 2009 High-school 3.23 external A2 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.83 multi-modal A3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2009 High-school 3.99 internal B1 
Medium,Business MBA Postgraduate 2009 High-school 3.34 internal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.36 external A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.12 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 2.84 multi-modal A3 
Medium,Business MSCF Postgraduate 2009 High-school 3.19 internal A2 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.13 internal A3 
Medium,Business MSCF Postgraduate 2009 High-school 3.21 internal B2 
Low,Business Business Undergraduate 2009 Bachelor 3.13 multi-modal B1 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.07 multi-modal A3 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.13 internal F 
High,Business MSCF Postgraduate 2009 High-school 3.11 internal A3 
High,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 3.69 internal B2 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.91 external B1 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.14 multi-modal B2 
Medium,Business Economics Undergraduate 2009 High-school 2.88 internal C 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.16 external B2 
Low,Science M.S.inChemistry Postgraduate 2009 High-school 3.04 internal A3 
Low,Science B.A.inChemistry Undergraduate 2009 High-school 2.95 internal B3 
Medium,Business Business Undergraduate 2009 High-school 3.08 external B1 
High,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.46 multi-modal B1 
Medium,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.48 multi-modal B1 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 3.07 internal A2 
High,Business MSCF Postgraduate 2009 Bachelor 3.89 multi-modal B2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 3.57 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.64 internal A3 
High,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.51 internal B2 
High,Science B.A.inBiologicalSciences Undergraduate 2009 Bachelor 3.07 internal B1 
High,Business Economics Undergraduate 2009 Bachelor 2.81 multi-modal A3 
Low,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.62 internal A3 
Low,Business MBA Postgraduate 2009 Bachelor 3.58 multi-modal B2 
High,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.52 internal B2 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 2.86 multi-modal A2 
Medium,Business Business Undergraduate 2009 High-school 3.95 internal A2 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 3.47 internal A2 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.14 internal A3 
High,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.61 multi-modal B1 
High,Business MSCF Postgraduate 2009 Bachelor 3.71 internal A3 
Low,Business Business Undergraduate 2009 Bachelor 2.86 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.66 multi-modal B3 
Medium,Business Economics Undergraduate 2009 High-school 2.93 internal A3 
High,Business Business Undergraduate 2009 High-school 3.93 internal B1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 3.91 multi-modal A3 
High,Science B.A.inChemistry Undergraduate 2009 High-school 3.56 external A3 
Low,Science B.A.inBiologicalSciences Undergraduate 2009 Bachelor 3.73 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.75 internal B1 
Medium,Business Business Undergraduate 2009 Bachelor 2.85 internal B1 
Low,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.07 internal A3 
High,Business MBA Postgraduate 2009 High-school 3.66 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.78 internal B2 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.48 internal A3 
High,Business Economics Undergraduate 2009 Bachelor 3.9 internal B1 
High,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 2.83 internal B1 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 2.98 internal B2 
Medium,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.73 multi-modal A3 
Medium,Business MBA Postgraduate 2009 High-school 3.62 multi-modal B2 
Medium,Business Business Undergraduate 2009 High-school 3.52 internal A3 
Medium,Business Business Undergraduate 2009 High-school 2.88 internal A3 
Medium,Business Business Undergraduate 2009 Bachelor 3.12 multi-modal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.49 internal B2 
Low,Business Business Undergraduate 2009 High-school 3.03 internal A3 
Medium,Business MSCF Postgraduate 2009 High-school 3.28 internal A3 
Medium,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.91 external A2 
Medium,Business Economics Undergraduate 2009 High-school 3.5 internal A2 
Medium,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.16 internal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.07 internal A3 
Low,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.8 internal B1 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.84 internal A2 
Medium,Business Economics Undergraduate 2009 Bachelor 3.47 internal B2 
NoPay,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.97 multi-modal A3 
Low,Business Economics Undergraduate 2009 High-school 3.04 external B1 
Medium,Business Business Undergraduate 2009 High-school 3.21 multi-modal A3 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.87 internal A2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 Bachelor 3.38 multi-modal B2 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 3.22 multi-modal B2 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 2.95 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 2.89 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 3.67 internal A3 
Medium,Business MBA Postgraduate 2009 High-school 3.36 internal C 
Medium,Business Business Undergraduate 2009 High-school 2.97 external A2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 2.89 multi-modal B2 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 2.9 internal A3 
Low,ComputerScience B.S.inComputerScience Postgraduate 2009 Bachelor 3.19 internal A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.6 internal A2 
High,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 4 internal A1 
Medium,Business MSCF Postgraduate 2009 Bachelor 3.04 internal B2 
High,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 3.29 internal A3 
Medium,Business MBA Postgraduate 2009 Bachelor 3.02 external B2 
NoPay,Science M.S.inChemistry Postgraduate 2009 High-school 3.45 internal A3 
NoPay,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.64 multi-modal B1 
NoPay,Business Business Undergraduate 2009 High-school 3.38 internal A3 
Excellent,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.48 internal A3 
Excellent,Science M.S.inBiologicalSciences Postgraduate 2009 High-school 3.89 multi-modal A3 
NoPay,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.43 internal B1 
Medium,Business MSCF Postgraduate 2009 High-school 3.71 internal B1 
Medium,Business Business Undergraduate 2009 High-school 3.63 external A3 
Low,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 3.19 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.77 external A3 
NoPay,ComputerScience B.S.inComputerScience Postgraduate 2009 High-school 3.13 internal B2 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 4 internal A3 
NoPay,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 2.81 internal B2 
High,InformationSystem M.S.inInformationTechnology Postgraduate 2009 Bachelor 3.15 internal B3 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 2.89 internal B2 
Medium,Business Business Undergraduate 2009 High-school 3.87 multi-modal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.6 internal A2 
Medium,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.07 internal A3 
Low,Science M.S.inChemistry Postgraduate 2009 High-school 3.38 multi-modal A3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.48 multi-modal B2 
Medium,Business MSCF Postgraduate 2009 High-school 3.04 internal A3 
Low,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.07 multi-modal A3 
Medium,Business Economics Undergraduate 2009 High-school 3.9 external A2 
Medium,Business MBA Postgraduate 2009 Bachelor 3.24 internal A2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 Bachelor 3.22 external A3 
Low,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 2.92 multi-modal B2 
Medium,Business Business Undergraduate 2009 Bachelor 3.92 internal B2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.2 internal B2 
Medium,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.82 external A3 
Low,ComputerScience M.S.inComputerScience Postgraduate 2009 High-school 2.92 internal B2 
Medium,Science B.A.inChemistry Undergraduate 2009 High-school 3.01 internal A2 
Low,InformationSystem M.S.inInformationTechnology Postgraduate 2009 High-school 3.99 multi-modal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2009 Bachelor 3.56 multi-modal A3 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 3.47 internal A3 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.11 internal B1 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 3.96 internal A3 
Low,Science B.A.inBiologicalSciences Undergraduate 2009 High-school 3.33 internal B2 
Medium,Business Economics Undergraduate 2009 Bachelor 3.73 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 3.13 internal B2 
Low,Business MBA Postgraduate 2009 Bachelor 3.28 internal B3 
Low,Science M.S.inBiologicalSciences Postgraduate 2009 Bachelor 3.1 internal B1 
Medium,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.4 internal F 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 3.19 internal A3 
Low,Business Business Undergraduate 2009 Bachelor 3.61 internal B2 
Low,Science M.S.inChemistry Postgraduate 2009 High-school 3.05 multi-modal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.7 internal B1 
Low,Business MBA Postgraduate 2009 Bachelor 3.94 internal B1 
Medium,Science M.S.inChemistry Postgraduate 2009 High-school 3.97 external A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2009 Bachelor 3.8 multi-modal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.26 multi-modal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 2.81 multi-modal B2 
Low,Science B.S.inMathematicalSciences Undergraduate 2009 High-school 3.76 multi-modal B2 
Medium,Business MBA Postgraduate 2009 Bachelor 3.76 multi-modal B1 
Medium,Business MBA Postgraduate 2009 High-school 3.02 internal A2 
Medium,Science B.A.inBiologicalSciences Undergraduate 2009 Bachelor 3.42 internal B1 
Medium,Business Business Undergraduate 2009 High-school 3.28 multi-modal B1 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 Bachelor 3.03 multi-modal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2009 High-school 3.19 multi-modal A2 
Medium,Business Business Undergraduate 2009 Bachelor 3.19 internal B1 
Low,Business MSCF Postgraduate 2009 High-school 3.78 multi-modal B2 
Medium,Science M.S.inChemistry Postgraduate 2009 Bachelor 3.86 internal B2 
Medium,Science B.A.inChemistry Undergraduate 2009 Bachelor 3.74 multi-modal B1 
Low,Science B.A.inChemistry Undergraduate 2008 High-school 3.69 internal B3 
Low,Business MBA Postgraduate 2008 High-school 3.62 external A3 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2008 High-school 3.52 multi-modal B1 
High,Business Economics Undergraduate 2008 Bachelor 2.91 internal A3 
High,InformationSystem M.S.inInformationTechnology Postgraduate 2008 High-school 4 internal A3 
High,ComputerScience B.S.inComputerScience Postgraduate 2008 Bachelor 3.54 internal A3 
High,Business Economics Undergraduate 2008 High-school 3.4 multi-modal A3 
NoPay,Business MSCF Postgraduate 2008 High-school 3.03 internal B3 
Medium,Science M.S.inChemistry Postgraduate 2008 High-school 3.35 internal B2 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2008 High-school 3.87 internal B2 
NoPay,Science M.S.inChemistry Postgraduate 2008 Bachelor 2.93 internal B1 
High,Business Business Undergraduate 2008 Bachelor 3.31 multi-modal A3 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2008 Bachelor 3.82 internal B1 
Medium,ComputerScience B.S.inComputerScience Postgraduate 2008 High-school 2.96 internal A2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2008 Bachelor 3.09 internal B1 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2008 High-school 3.96 internal B1 
Medium,Business Economics Undergraduate 2008 High-school 3.03 internal B2 
High,Science M.S.inBiologicalSciences Postgraduate 2008 High-school 3.36 internal A3 
Medium,ComputerScience M.S.inComputerScience Postgraduate 2008 High-school 3.73 multi-modal B1 
Low,Business Economics Undergraduate 2008 High-school 3.22 internal B2 
Low,Science M.S.inChemistry Postgraduate 2008 Bachelor 2.8 internal B2 
Medium,Science M.S.inChemistry Postgraduate 2008 Bachelor 3.99 internal F 
Medium,InformationSystem M.S.inInformationTechnology Postgraduate 2008 High-school 3.36 internal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2008 High-school 3.52 internal B2 
Medium,InformationSystem M.S.inInformationSystemManagement Postgraduate 2008 High-school 3.26 internal B3 
Low,Science B.A.inBiologicalSciences Undergraduate 2008 High-school 3.96 multi-modal A1 
High,InformationSystem M.S.inInformationTechnology Postgraduate 2008 High-school 3.2 external A3 
High,Science M.S.inChemistry Postgraduate 2008 Bachelor 3.59 internal A3 
Medium,Science M.S.inChemistry Postgraduate 2008 High-school 3.54 internal B1 
Medium,Business MBA Postgraduate 2008 High-school 3.98 internal B1 
High,Science M.S.inBiologicalSciences Postgraduate 2008 Bachelor 3.34 multi-modal A3 
High,Business MSCF Postgraduate 2008 Bachelor 3.52 internal A3 
High,Science B.A.inChemistry Undergraduate 2008 High-school 3.45 internal A3 
Medium,Science M.S.inBiologicalSciences Postgraduate 2008 Bachelor 3.19 multi-modal B2 
Medium,Business Business Undergraduate 2008 Bachelor 3.99 internal B2 
High,ComputerScience M.S.inComputerScience Postgraduate 2008 Bachelor 3.28 multi-modal A3 
High,Science B.S.inMathematicalSciences Undergraduate 2008 High-school 3.91 internal A3 
High,ComputerScience B.S.inComputerScience Postgraduate 2008 Bachelor 3.57 internal A3 
High,Science M.S.inBiologicalSciences Postgraduate 2008 High-school 3.11 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 Bachelor 3.02 internal B2 
High,Science B.A.inBiologicalSciences Undergraduate 2008 Bachelor 3.53 internal A3 
Medium,Science B.S.inMathematicalSciences Undergraduate 2008 Bachelor 3.16 internal B2 
High,Science B.S.inMathematicalSciences Undergraduate 2007 High-school 3.37 multi-modal A3 
Low,ComputerScience M.S.inComputerScience Postgraduate 2007 High-school 3.03 internal B3 
High,Science B.S.inMathematicalSciences Undergraduate 2007 High-school 3.06 internal A3 
Medium,Business Economics Undergraduate 2007 High-school 3.44 internal C 
High,InformationSystem M.S.inInformationTechnology Postgraduate 2007 High-school 3.88 internal A3 
High,Business Economics Undergraduate 2007 High-school 3.04 internal A3 
